"","DoseGroup","AMT","Stase_effect","Stase_FP","Stase_FN","Stase_TP","Bactericidal_effect","Bactericidal_FP","Bactericidal_FN","Bactericidal_TP"
"1","continuous_infusion",9.92,0,NA,NA,NA,0,NA,NA,NA
"2","continuous_infusion",24.63,0,NA,NA,NA,0,NA,NA,NA
"3","continuous_infusion",49.42,0,NA,NA,NA,0,NA,NA,NA
"4","continuous_infusion",74.87,0,NA,NA,NA,0,NA,NA,NA
"5","continuous_infusion",99.11,0,NA,NA,NA,0,NA,NA,NA
"6","continuous_infusion",147.87,0,NA,NA,NA,0,NA,NA,NA
"7","continuous_infusion",298.07,1.22,66,38.18,28.1,0,NA,NA,NA
"8","continuous_infusion",447.55,11.76,41.98,48.02,37.77,0.11,NA,100,0
"9","continuous_infusion",594.41,30.47,23.95,41.65,49.29,1.6,65.38,87.5,10.11
"10","continuous_infusion",793.65,53.53,14.38,31.8,61.19,5.87,42.04,65.53,27.58
"11","continuous_infusion",992.96,69.16,7.53,21.11,74.12,12.89,30.91,55.69,36.98
"12","continuous_infusion",1185.15,80.62,3.74,13.42,83.76,20.36,23.14,45.96,46.48
"13","continuous_infusion",1786.02,93.16,0.84,4.22,95.01,42.44,23.71,30.94,56.85
"14","continuous_infusion",2377.96,98.16,0.25,1.9,97.85,61.96,18.05,21.16,67.18
"15","continuous_infusion",2979.85,99.18,0.09,0.87,99.04,75.69,15.17,16.24,72.85
"16","continuous_infusion",3964.71,99.8,0.02,0.33,99.64,85.4,12.47,9.78,79.94
"17","continuous_infusion",5468.17,100,0,0.04,99.96,88.87,11.11,4.78,85.09
"18","continuous_infusion",6899.2,100,0,0.02,99.98,91.44,8.57,1.7,90.01
"19","continuous_infusion",8414.16,100,0,0,100,94.53,5.47,0.56,94.02
"20","continuous_infusion",9924.52,100,0,0,100,97.2,2.81,0.32,96.89
"21","fractioned_12h",10,0,NA,NA,NA,0,NA,NA,NA
"22","fractioned_12h",25,0,NA,NA,NA,0,NA,NA,NA
"23","fractioned_12h",50,0,NA,NA,NA,0,NA,NA,NA
"24","fractioned_12h",75,0,NA,NA,NA,0,NA,NA,NA
"25","fractioned_12h",100,0,NA,NA,NA,0,NA,NA,NA
"26","fractioned_12h",150,0,NA,NA,NA,0,NA,NA,NA
"27","fractioned_12h",300,2.87,47.9,51.94,33.33,0.07,NA,100,0
"28","fractioned_12h",450,17.36,21.84,50.96,43.13,0.87,0,97.44,2.56
"29","fractioned_12h",600,33.8,16.49,47.07,47.92,3.6,34.38,87.04,12.14
"30","fractioned_12h",800,54.67,8.32,31.5,64.49,10.04,14.2,66.59,31.66
"31","fractioned_12h",1000,69.47,4.11,20.95,76.45,17.67,13.47,57.99,39.43
"32","fractioned_12h",1200,78.29,3.01,13.97,83.8,26.16,11.78,51.66,45.41
"33","fractioned_12h",1800,92.27,1.3,5.23,93.6,49.36,13.46,36.33,57.93
"34","fractioned_12h",2400,97.53,0.67,2.44,96.92,66,13.59,24.41,67.56
"35","fractioned_12h",3000,98.91,0.27,0.99,98.75,76.16,13.23,16.95,73.71
"36","fractioned_12h",4000,99.62,0.18,0.36,99.47,83.2,13.09,10.28,79.04
"37","fractioned_12h",5500,99.96,0,0.02,99.98,88.49,10.99,4.77,85.21
"38","fractioned_12h",7000,99.98,0,0.02,99.98,90.51,9.28,2.09,89
"39","fractioned_12h",8500,100,0,0,100,93.64,6.26,0.88,92.97
