"","DoseGroup","AMT","Stase_effect","Stase_FP","Stase_FN","Stase_TP","Bactericidal_effect","Bactericidal_FP","Bactericidal_FN","Bactericidal_TP"
"1","continuous_infusion",9.92,0,NA,NA,NA,0,NA,NA,NA
"2","continuous_infusion",24.63,0,NA,NA,NA,0,NA,NA,NA
"3","continuous_infusion",49.42,0,NA,NA,NA,0,NA,NA,NA
"4","continuous_infusion",74.87,0,NA,NA,NA,0,NA,NA,NA
"5","continuous_infusion",99.11,0,NA,NA,NA,0,NA,NA,NA
"6","continuous_infusion",147.87,0,NA,NA,NA,0,NA,NA,NA
"7","continuous_infusion",298.07,1.22,64.66,25.45,31.54,0,NA,NA,NA
"8","continuous_infusion",447.55,11.76,36.27,43.86,42.55,0.11,NA,100,0
"9","continuous_infusion",594.41,30.47,20.25,40.55,51.65,1.6,51.61,79.17,17.05
"10","continuous_infusion",793.65,53.53,10.26,31.76,63.3,5.87,33.09,65.53,29.45
"11","continuous_infusion",992.96,69.16,3.95,21.08,76.44,12.89,24.79,54.48,39.58
"12","continuous_infusion",1185.15,80.62,1.55,14.08,84.77,20.36,19.52,45.52,48.12
"13","continuous_infusion",1786.02,93.16,0.2,4.53,95.29,42.44,16.7,30.52,60.98
"14","continuous_infusion",2377.96,98.16,0.05,2.49,97.47,61.96,14.41,21.84,69.06
"15","continuous_infusion",2979.85,99.18,0,0.92,99.08,75.69,13.06,17.32,73.54
"16","continuous_infusion",3964.71,99.8,0,0.36,99.64,85.4,11.88,11.06,79.41
"17","continuous_infusion",5468.17,100,0,0.13,99.87,88.87,11.06,5.3,84.72
"18","continuous_infusion",6899.2,100,0,0.02,99.98,91.44,8.53,2.07,89.74
"19","continuous_infusion",8414.16,100,0,0,100,94.53,5.48,1.1,93.53
"20","continuous_infusion",9924.52,100,0,0,100,97.2,2.81,0.46,96.76
"21","fractioned_12h",10,0,NA,NA,NA,0,NA,NA,NA
"22","fractioned_12h",25,0,NA,NA,NA,0,NA,NA,NA
"23","fractioned_12h",50,0,NA,NA,NA,0,NA,NA,NA
"24","fractioned_12h",75,0,NA,NA,NA,0,NA,NA,NA
"25","fractioned_12h",100,0,NA,NA,NA,0,NA,NA,NA
"26","fractioned_12h",150,0,NA,NA,NA,0,NA,NA,NA
"27","fractioned_12h",300,2.87,50.97,41.09,36.54,0.07,100,100,0
"28","fractioned_12h",450,17.36,26.18,44.05,46.69,0.87,12.5,82.05,17.5
"29","fractioned_12h",600,33.8,17.17,38.13,54.84,3.6,32.08,77.78,20.11
"30","fractioned_12h",800,54.67,8.14,25.24,70.11,10.04,13.27,62.39,35.56
"31","fractioned_12h",1000,69.47,4.34,16.06,80.86,17.67,12.56,52.7,44.29
"32","fractioned_12h",1200,78.29,3.38,10.7,86.6,26.16,10.58,44.69,51.91
"33","fractioned_12h",1800,92.27,1.67,3.71,94.74,49.36,11.72,29.49,64.47
"34","fractioned_12h",2400,97.53,0.62,1.71,97.69,66,12.8,20.44,71.24
"35","fractioned_12h",3000,98.91,0.32,0.7,98.99,76.16,12.46,14.91,75.9
"36","fractioned_12h",4000,99.62,0.13,0.16,99.71,83.2,12.79,8.92,80.35
"37","fractioned_12h",5500,99.96,0,0,100,88.49,10.95,3.82,86.01
"38","fractioned_12h",7000,99.98,0,0,100,90.51,9.18,1.57,89.53
"39","fractioned_12h",8500,100,0,0,100,93.64,6.28,0.9,92.92
