rep,id,V1,V2,Q,Cl,Vm,Km,ka,F
1,800,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
2,800,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
3,800,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
4,800,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
5,800,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
6,800,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
7,800,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
8,800,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
9,800,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
10,800,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
11,800,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
12,800,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
13,800,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
14,800,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
15,800,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
16,800,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
17,800,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
1,400,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
2,400,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
3,400,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
4,400,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
5,400,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
6,400,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
7,400,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
8,400,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
9,400,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
10,400,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
11,400,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
12,400,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
13,400,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
14,400,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
15,400,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
16,400,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
17,400,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
1,200,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
2,200,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
3,200,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
4,200,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
5,200,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
6,200,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
7,200,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
8,200,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
9,200,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
10,200,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
11,200,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
12,200,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
13,200,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
14,200,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
15,200,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
16,200,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
17,200,0.268,0.402,0.504,0.0649,3.26,26.4,3.81923,0.354683
