rep,id,eta_V1,eta_V2,eta_Q,eta_Cl,eta_Vm,eta_Km,eta_ka,eta_F
1,800,0,0,0,0,0,0,0,0
2,800,0,0,0,0,0,0,0,0
3,800,0,0,0,0,0,0,0,0
4,800,0,0,0,0,0,0,0,0
5,800,0,0,0,0,0,0,0,0
6,800,0,0,0,0,0,0,0,0
7,800,0,0,0,0,0,0,0,0
8,800,0,0,0,0,0,0,0,0
9,800,0,0,0,0,0,0,0,0
10,800,0,0,0,0,0,0,0,0
11,800,0,0,0,0,0,0,0,0
12,800,0,0,0,0,0,0,0,0
13,800,0,0,0,0,0,0,0,0
14,800,0,0,0,0,0,0,0,0
15,800,0,0,0,0,0,0,0,0
16,800,0,0,0,0,0,0,0,0
17,800,0,0,0,0,0,0,0,0
1,400,0,0,0,0,0,0,0,0
2,400,0,0,0,0,0,0,0,0
3,400,0,0,0,0,0,0,0,0
4,400,0,0,0,0,0,0,0,0
5,400,0,0,0,0,0,0,0,0
6,400,0,0,0,0,0,0,0,0
7,400,0,0,0,0,0,0,0,0
8,400,0,0,0,0,0,0,0,0
9,400,0,0,0,0,0,0,0,0
10,400,0,0,0,0,0,0,0,0
11,400,0,0,0,0,0,0,0,0
12,400,0,0,0,0,0,0,0,0
13,400,0,0,0,0,0,0,0,0
14,400,0,0,0,0,0,0,0,0
15,400,0,0,0,0,0,0,0,0
16,400,0,0,0,0,0,0,0,0
17,400,0,0,0,0,0,0,0,0
1,200,0,0,0,0,0,0,0,0
2,200,0,0,0,0,0,0,0,0
3,200,0,0,0,0,0,0,0,0
4,200,0,0,0,0,0,0,0,0
5,200,0,0,0,0,0,0,0,0
6,200,0,0,0,0,0,0,0,0
7,200,0,0,0,0,0,0,0,0
8,200,0,0,0,0,0,0,0,0
9,200,0,0,0,0,0,0,0,0
10,200,0,0,0,0,0,0,0,0
11,200,0,0,0,0,0,0,0,0
12,200,0,0,0,0,0,0,0,0
13,200,0,0,0,0,0,0,0,0
14,200,0,0,0,0,0,0,0,0
15,200,0,0,0,0,0,0,0,0
16,200,0,0,0,0,0,0,0,0
17,200,0,0,0,0,0,0,0,0
