rep,id,V,Cl
1,80,1.21177,0.885625
2,80,1.21177,0.885625
3,80,1.21177,0.885625
4,80,1.21177,0.885625
5,80,1.21177,0.885625
6,80,1.21177,0.885625
7,80,1.21177,0.885625
8,80,1.21177,0.885625
9,80,1.21177,0.885625
10,80,1.21177,0.885625
11,80,1.21177,0.885625
12,80,1.21177,0.885625
13,80,1.21177,0.885625
14,80,1.21177,0.885625
15,80,1.21177,0.885625
16,80,1.21177,0.885625
17,80,1.21177,0.885625
18,80,1.21177,0.885625
19,80,1.21177,0.885625
20,80,1.21177,0.885625
21,80,1.21177,0.885625
22,80,1.21177,0.885625
23,80,1.21177,0.885625
24,80,1.21177,0.885625
25,80,1.21177,0.885625
1,20,1.21177,0.885625
2,20,1.21177,0.885625
3,20,1.21177,0.885625
4,20,1.21177,0.885625
5,20,1.21177,0.885625
6,20,1.21177,0.885625
7,20,1.21177,0.885625
8,20,1.21177,0.885625
9,20,1.21177,0.885625
10,20,1.21177,0.885625
11,20,1.21177,0.885625
12,20,1.21177,0.885625
13,20,1.21177,0.885625
14,20,1.21177,0.885625
15,20,1.21177,0.885625
16,20,1.21177,0.885625
17,20,1.21177,0.885625
18,20,1.21177,0.885625
19,20,1.21177,0.885625
20,20,1.21177,0.885625
21,20,1.21177,0.885625
22,20,1.21177,0.885625
23,20,1.21177,0.885625
24,20,1.21177,0.885625
25,20,1.21177,0.885625
