rep,id,eta_V,eta_Cl
1,80,0,0
2,80,0,0
3,80,0,0
4,80,0,0
5,80,0,0
6,80,0,0
7,80,0,0
8,80,0,0
9,80,0,0
10,80,0,0
11,80,0,0
12,80,0,0
13,80,0,0
14,80,0,0
15,80,0,0
16,80,0,0
17,80,0,0
18,80,0,0
19,80,0,0
20,80,0,0
21,80,0,0
22,80,0,0
23,80,0,0
24,80,0,0
25,80,0,0
1,20,0,0
2,20,0,0
3,20,0,0
4,20,0,0
5,20,0,0
6,20,0,0
7,20,0,0
8,20,0,0
9,20,0,0
10,20,0,0
11,20,0,0
12,20,0,0
13,20,0,0
14,20,0,0
15,20,0,0
16,20,0,0
17,20,0,0
18,20,0,0
19,20,0,0
20,20,0,0
21,20,0,0
22,20,0,0
23,20,0,0
24,20,0,0
25,20,0,0
