rep,id,ka,V,Vm,Km
1,80,9.36862,1.30636,58.0013,46.5113
2,80,9.36862,1.30636,58.0013,46.5113
3,80,9.36862,1.30636,58.0013,46.5113
4,80,9.36862,1.30636,58.0013,46.5113
5,80,9.36862,1.30636,58.0013,46.5113
6,80,9.36862,1.30636,58.0013,46.5113
7,80,9.36862,1.30636,58.0013,46.5113
8,80,9.36862,1.30636,58.0013,46.5113
9,80,9.36862,1.30636,58.0013,46.5113
10,80,9.36862,1.30636,58.0013,46.5113
11,80,9.36862,1.30636,58.0013,46.5113
12,80,9.36862,1.30636,58.0013,46.5113
13,80,9.36862,1.30636,58.0013,46.5113
14,80,9.36862,1.30636,58.0013,46.5113
15,80,9.36862,1.30636,58.0013,46.5113
16,80,9.36862,1.30636,58.0013,46.5113
17,80,9.36862,1.30636,58.0013,46.5113
1,40,9.36862,1.30636,58.0013,46.5113
2,40,9.36862,1.30636,58.0013,46.5113
3,40,9.36862,1.30636,58.0013,46.5113
4,40,9.36862,1.30636,58.0013,46.5113
5,40,9.36862,1.30636,58.0013,46.5113
6,40,9.36862,1.30636,58.0013,46.5113
7,40,9.36862,1.30636,58.0013,46.5113
8,40,9.36862,1.30636,58.0013,46.5113
9,40,9.36862,1.30636,58.0013,46.5113
10,40,9.36862,1.30636,58.0013,46.5113
11,40,9.36862,1.30636,58.0013,46.5113
12,40,9.36862,1.30636,58.0013,46.5113
13,40,9.36862,1.30636,58.0013,46.5113
14,40,9.36862,1.30636,58.0013,46.5113
15,40,9.36862,1.30636,58.0013,46.5113
16,40,9.36862,1.30636,58.0013,46.5113
17,40,9.36862,1.30636,58.0013,46.5113
1,20,9.36862,1.30636,58.0013,46.5113
2,20,9.36862,1.30636,58.0013,46.5113
3,20,9.36862,1.30636,58.0013,46.5113
4,20,9.36862,1.30636,58.0013,46.5113
5,20,9.36862,1.30636,58.0013,46.5113
6,20,9.36862,1.30636,58.0013,46.5113
7,20,9.36862,1.30636,58.0013,46.5113
8,20,9.36862,1.30636,58.0013,46.5113
9,20,9.36862,1.30636,58.0013,46.5113
10,20,9.36862,1.30636,58.0013,46.5113
11,20,9.36862,1.30636,58.0013,46.5113
12,20,9.36862,1.30636,58.0013,46.5113
13,20,9.36862,1.30636,58.0013,46.5113
14,20,9.36862,1.30636,58.0013,46.5113
15,20,9.36862,1.30636,58.0013,46.5113
16,20,9.36862,1.30636,58.0013,46.5113
17,20,9.36862,1.30636,58.0013,46.5113
